tag,init_file,output_dir,case_region,n_pores_requested,n_pores_effective,k_spacing,depth_ratio,width,height,final_vtu,n_bubbles,status
042,/home/fiorello/init_files_grid/042.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/042,intermediate,1,1,3.909090909090909,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/042/surf_20.0.vtu,0,ok
043,/home/fiorello/init_files_grid/043.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/043,intermediate,1,1,3.909090909090909,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/043/surf_20.0.vtu,0,ok
044,/home/fiorello/init_files_grid/044.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/044,intermediate,1,1,3.909090909090909,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/044/surf_20.0.vtu,0,ok
045,/home/fiorello/init_files_grid/045.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/045,intermediate,1,1,3.909090909090909,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/045/surf_20.0.vtu,0,ok
046,/home/fiorello/init_files_grid/046.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/046,intermediate,1,1,3.909090909090909,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/046/surf_20.0.vtu,0,ok
047,/home/fiorello/init_files_grid/047.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/047,intermediate,1,1,3.909090909090909,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/047/surf_20.0.vtu,0,ok
048,/home/fiorello/init_files_grid/048.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/048,intermediate,1,1,4.181818181818182,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/048/surf_20.0.vtu,0,ok
049,/home/fiorello/init_files_grid/049.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/049,intermediate,1,1,4.181818181818182,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/049/surf_20.0.vtu,0,ok
050,/home/fiorello/init_files_grid/050.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/050,intermediate,1,1,4.181818181818182,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/050/surf_20.0.vtu,0,ok
051,/home/fiorello/init_files_grid/051.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/051,intermediate,1,1,4.181818181818182,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/051/surf_20.0.vtu,0,ok
