tag,init_file,output_dir,case_region,n_pores_requested,n_pores_effective,k_spacing,depth_ratio,width,height
065,/home/fiorello/init_files_grid/065.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/065,intermediate,1,1,4.727272727272727,13.0,0.1045,1.1685
066,/home/fiorello/init_files_grid/066.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/066,intermediate,1,1,5.0,8.0,0.1045,0.6459999999999999
067,/home/fiorello/init_files_grid/067.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/067,intermediate,1,1,5.0,9.0,0.1045,0.7505
068,/home/fiorello/init_files_grid/068.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/068,intermediate,1,1,5.0,10.0,0.1045,0.855
069,/home/fiorello/init_files_grid/069.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/069,intermediate,1,1,5.0,11.0,0.1045,0.9595
070,/home/fiorello/init_files_grid/070.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/070,intermediate,1,1,5.0,12.0,0.1045,1.064
071,/home/fiorello/init_files_grid/071.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/071,intermediate,1,1,5.0,13.0,0.1045,1.1685
072,/home/fiorello/init_files_grid/072.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/072,intermediate,2,2,2.0,8.0,0.1045,0.6459999999999999
073,/home/fiorello/init_files_grid/073.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/073,intermediate,2,2,2.0,9.0,0.1045,0.7505
074,/home/fiorello/init_files_grid/074.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/074,intermediate,2,2,2.0,10.0,0.1045,0.855
075,/home/fiorello/init_files_grid/075.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/075,intermediate,2,2,2.0,11.0,0.1045,0.9595
076,/home/fiorello/init_files_grid/076.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/076,intermediate,2,2,2.0,12.0,0.1045,1.064
077,/home/fiorello/init_files_grid/077.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/077,intermediate,2,2,2.0,13.0,0.1045,1.1685
078,/home/fiorello/init_files_grid/078.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/078,intermediate,2,2,2.2727272727272725,8.0,0.1045,0.6459999999999999
079,/home/fiorello/init_files_grid/079.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/079,intermediate,2,2,2.2727272727272725,9.0,0.1045,0.7505
080,/home/fiorello/init_files_grid/080.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/080,intermediate,2,2,2.2727272727272725,10.0,0.1045,0.855
081,/home/fiorello/init_files_grid/081.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/081,intermediate,2,2,2.2727272727272725,11.0,0.1045,0.9595
082,/home/fiorello/init_files_grid/082.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/082,intermediate,2,2,2.2727272727272725,12.0,0.1045,1.064
083,/home/fiorello/init_files_grid/083.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/083,intermediate,2,2,2.2727272727272725,13.0,0.1045,1.1685
084,/home/fiorello/init_files_grid/084.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/084,intermediate,2,2,2.5454545454545454,8.0,0.1045,0.6459999999999999
085,/home/fiorello/init_files_grid/085.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/085,intermediate,2,2,2.5454545454545454,9.0,0.1045,0.7505
086,/home/fiorello/init_files_grid/086.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/086,intermediate,2,2,2.5454545454545454,10.0,0.1045,0.855
087,/home/fiorello/init_files_grid/087.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/087,intermediate,2,2,2.5454545454545454,11.0,0.1045,0.9595
088,/home/fiorello/init_files_grid/088.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/088,intermediate,2,2,2.5454545454545454,12.0,0.1045,1.064
089,/home/fiorello/init_files_grid/089.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/089,intermediate,2,2,2.5454545454545454,13.0,0.1045,1.1685
090,/home/fiorello/init_files_grid/090.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/090,intermediate,2,2,2.8181818181818183,8.0,0.1045,0.6459999999999999
091,/home/fiorello/init_files_grid/091.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/091,intermediate,2,2,2.8181818181818183,9.0,0.1045,0.7505
092,/home/fiorello/init_files_grid/092.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/092,intermediate,2,2,2.8181818181818183,10.0,0.1045,0.855
093,/home/fiorello/init_files_grid/093.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/093,intermediate,2,2,2.8181818181818183,11.0,0.1045,0.9595
094,/home/fiorello/init_files_grid/094.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/094,intermediate,2,2,2.8181818181818183,12.0,0.1045,1.064
095,/home/fiorello/init_files_grid/095.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/095,intermediate,2,2,2.8181818181818183,13.0,0.1045,1.1685
096,/home/fiorello/init_files_grid/096.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/096,intermediate,2,2,3.090909090909091,8.0,0.1045,0.6459999999999999
097,/home/fiorello/init_files_grid/097.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/097,intermediate,2,2,3.090909090909091,9.0,0.1045,0.7505
098,/home/fiorello/init_files_grid/098.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/098,intermediate,2,2,3.090909090909091,10.0,0.1045,0.855
099,/home/fiorello/init_files_grid/099.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/099,intermediate,2,2,3.090909090909091,11.0,0.1045,0.9595
100,/home/fiorello/init_files_grid/100.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/100,intermediate,2,2,3.090909090909091,12.0,0.1045,1.064
101,/home/fiorello/init_files_grid/101.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/101,intermediate,2,2,3.090909090909091,13.0,0.1045,1.1685
102,/home/fiorello/init_files_grid/102.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/102,intermediate,2,2,3.3636363636363633,8.0,0.1045,0.6459999999999999
103,/home/fiorello/init_files_grid/103.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/103,intermediate,2,2,3.3636363636363633,9.0,0.1045,0.7505
104,/home/fiorello/init_files_grid/104.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/104,intermediate,2,2,3.3636363636363633,10.0,0.1045,0.855
105,/home/fiorello/init_files_grid/105.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/105,intermediate,2,2,3.3636363636363633,11.0,0.1045,0.9595
106,/home/fiorello/init_files_grid/106.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/106,intermediate,2,2,3.3636363636363633,12.0,0.1045,1.064
107,/home/fiorello/init_files_grid/107.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/107,intermediate,2,2,3.3636363636363633,13.0,0.1045,1.1685
108,/home/fiorello/init_files_grid/108.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/108,intermediate,2,2,3.6363636363636362,8.0,0.1045,0.6459999999999999
109,/home/fiorello/init_files_grid/109.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/109,intermediate,2,2,3.6363636363636362,9.0,0.1045,0.7505
110,/home/fiorello/init_files_grid/110.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/110,intermediate,2,2,3.6363636363636362,10.0,0.1045,0.855
111,/home/fiorello/init_files_grid/111.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/111,intermediate,2,2,3.6363636363636362,11.0,0.1045,0.9595
112,/home/fiorello/init_files_grid/112.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/112,intermediate,2,2,3.6363636363636362,12.0,0.1045,1.064
113,/home/fiorello/init_files_grid/113.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/113,intermediate,2,2,3.6363636363636362,13.0,0.1045,1.1685
114,/home/fiorello/init_files_grid/114.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/114,intermediate,2,2,3.909090909090909,8.0,0.1045,0.6459999999999999
115,/home/fiorello/init_files_grid/115.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/115,intermediate,2,2,3.909090909090909,9.0,0.1045,0.7505
116,/home/fiorello/init_files_grid/116.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/116,intermediate,2,2,3.909090909090909,10.0,0.1045,0.855
117,/home/fiorello/init_files_grid/117.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/117,intermediate,2,2,3.909090909090909,11.0,0.1045,0.9595
118,/home/fiorello/init_files_grid/118.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/118,intermediate,2,2,3.909090909090909,12.0,0.1045,1.064
119,/home/fiorello/init_files_grid/119.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/119,intermediate,2,2,3.909090909090909,13.0,0.1045,1.1685
120,/home/fiorello/init_files_grid/120.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/120,intermediate,2,2,4.181818181818182,8.0,0.1045,0.6459999999999999
121,/home/fiorello/init_files_grid/121.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/121,intermediate,2,2,4.181818181818182,9.0,0.1045,0.7505
122,/home/fiorello/init_files_grid/122.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/122,intermediate,2,2,4.181818181818182,10.0,0.1045,0.855
123,/home/fiorello/init_files_grid/123.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/123,intermediate,2,2,4.181818181818182,11.0,0.1045,0.9595
124,/home/fiorello/init_files_grid/124.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/124,intermediate,2,2,4.181818181818182,12.0,0.1045,1.064
125,/home/fiorello/init_files_grid/125.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/125,intermediate,2,2,4.181818181818182,13.0,0.1045,1.1685
126,/home/fiorello/init_files_grid/126.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/126,intermediate,2,2,4.454545454545454,8.0,0.1045,0.6459999999999999
127,/home/fiorello/init_files_grid/127.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/127,intermediate,2,2,4.454545454545454,9.0,0.1045,0.7505
128,/home/fiorello/init_files_grid/128.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/128,intermediate,2,2,4.454545454545454,10.0,0.1045,0.855
129,/home/fiorello/init_files_grid/129.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/129,intermediate,2,2,4.454545454545454,11.0,0.1045,0.9595
130,/home/fiorello/init_files_grid/130.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/130,intermediate,2,2,4.454545454545454,12.0,0.1045,1.064
131,/home/fiorello/init_files_grid/131.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/131,intermediate,2,2,4.454545454545454,13.0,0.1045,1.1685
132,/home/fiorello/init_files_grid/132.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/132,intermediate,2,2,4.727272727272727,8.0,0.1045,0.6459999999999999
133,/home/fiorello/init_files_grid/133.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/133,intermediate,2,2,4.727272727272727,9.0,0.1045,0.7505
134,/home/fiorello/init_files_grid/134.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/134,intermediate,2,2,4.727272727272727,10.0,0.1045,0.855
135,/home/fiorello/init_files_grid/135.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/135,intermediate,2,2,4.727272727272727,11.0,0.1045,0.9595
136,/home/fiorello/init_files_grid/136.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/136,intermediate,2,2,4.727272727272727,12.0,0.1045,1.064
137,/home/fiorello/init_files_grid/137.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/137,intermediate,2,2,4.727272727272727,13.0,0.1045,1.1685
138,/home/fiorello/init_files_grid/138.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/138,intermediate,2,2,5.0,8.0,0.1045,0.6459999999999999
139,/home/fiorello/init_files_grid/139.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/139,intermediate,2,2,5.0,9.0,0.1045,0.7505
140,/home/fiorello/init_files_grid/140.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/140,intermediate,2,2,5.0,10.0,0.1045,0.855
141,/home/fiorello/init_files_grid/141.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/141,intermediate,2,2,5.0,11.0,0.1045,0.9595
