Time,"phi","Points:0","Points:1","Points:2"
0,0.5,0.10177677,-0.0080267722,0
0,0.5,0.094239861,-0.0083023626,0
0,0.5,0.09375,-0.0083193369,0
0,0.5,0.09765625,-0.0081800502,0
0,0.5,0.11328125,-0.0075689531,0
0,0.5,0.10946205,-0.0077254567,0
0,0.5,0.11679635,-0.0074213524,0
0,0.5,0.109375,-0.0077290162,0
0,0.5,0.11761279,-0.0073872143,0
0,0.5,0.1171875,-0.0074054864,0
0,0.5,0.10727721,-0.0078125,0
0,0.5,0.10546875,-0.007884521,0
0,0.5,0.10929459,-0.0077320822,0
0,0.5,0.079107724,-0.0087952241,0
0,0.5,0.078125,-0.0088244276,0
0,0.5,0.085142277,-0.0086077238,0
0,0.5,0.08203125,-0.0087066665,0
0,0.5,0.077083103,-0.0088543994,0
0,0.5,0.07421875,-0.0089374958,0
0,0.5,0.093225181,-0.0083373189,0
0,0.5,0.08984375,-0.00845413,0
0,0.5,0.086683601,-0.0085586002,0
0,0.5,0.0859375,-0.0085826507,0
0,0.5,0.0390625,-0.0097008003,0
0,0.5,0.03714662,-0.0097283795,0
0,0.5,0.040921297,-0.0096712969,0
0,0.5,0.033219613,-0.009782115,0
0,0.5,0.03125,-0.0098075354,0
0,0.5,0.03515625,-0.0097570866,0
0,0.5,0.048600931,-0.0095384307,0
0,0.5,0.046875,-0.0095708473,0
0,0.5,0.053048883,-0.0094511174,0
0,0.5,0.05078125,-0.0094972812,0
0,0.5,0.045085624,-0.0096018752,0
0,0.5,0.04296875,-0.0096387109,0
0,0.5,0.017748371,-0.0099358698,0
0,0.5,0.015625,-0.0099504571,0
0,0.5,0.021341579,-0.009908421,0
0,0.5,0.01953125,-0.0099236285,0
0,0.5,0.013475526,-0.0099619739,0
0,0.5,0.01171875,-0.0099713858,0
0,0.5,0.029231928,-0.0098305708,0
0,0.5,0.02734375,-0.0098521356,0
0,0.5,0.02549544,-0.0098704398,0
0,0.5,0.0234375,-0.0098908152,0
0,0.5,0.061036289,-0.0092762113,0
0,0.5,0.05859375,-0.0093330778,0
0,0.5,0.056258943,-0.009383942,0
0,0.5,0.0546875,-0.0094179297,0
0,0.5,0.12428409,-0.0070965909,0
0,0.5,0.12109375,-0.0072370088,0
0,0.5,0.49436632,0.0099913161,0
0,0.5,0.4921875,0.0099863065,0
0,0.5,0.49002197,0.0099780327,0
0,0.5,0.5,0.0099982731,0
0,0.5,0.49781591,0.009996607,0
0,0.5,0.49609375,0.0099952901,0
0,0.5,0.37421823,0.0070307208,0
0,0.5,0.37109375,0.0068895109,0
0,0.5,0.36824158,0.0067584282,0
0,0.5,0.375,0.0070658587,0
0,0.5,0.3125,0.0038256296,0
